instance, prediction
1,9.0
2,6.0
3,4.0
4,5.0
5,9.0
6,1.0
7,1.0
8,3.0
9,8.0
10,9.0
11,0.0
12,1.0
13,3.0
14,9.0
15,0.0
16,1.0
17,9.0
18,9.0
19,7.0
20,1.0
21,6.0
22,1.0
23,9.0
24,7.0
25,9.0
26,8.0
27,1.0
28,1.0
29,8.0
30,8.0
31,9.0
32,8.0
33,8.0
34,9.0
35,4.0
36,1.0
37,9.0
38,9.0
39,1.0
40,1.0
41,4.0
42,7.0
43,0.0
44,5.0
45,9.0
46,4.0
47,1.0
48,1.0
49,5.0
50,1.0
51,1.0
52,0.0
53,5.0
54,9.0
55,0.0
56,1.0
57,8.0
58,5.0
59,9.0
60,1.0
61,1.0
62,4.0
63,0.0
64,0.0
65,9.0
66,0.0
67,1.0
68,4.0
69,0.0
70,9.0
71,7.0
72,1.0
73,1.0
74,5.0
75,5.0
76,3.0
77,9.0
78,1.0
79,5.0
80,9.0
81,7.0
82,3.0
83,1.0
84,5.0
85,0.0
86,6.0
87,8.0
88,9.0
89,7.0
90,6.0
91,8.0
92,9.0
93,1.0
94,1.0
95,9.0
96,1.0
97,9.0
98,9.0
99,0.0
100,0.0
101,5.0
102,8.0
103,8.0
104,2.0
105,9.0
106,5.0
107,8.0
108,5.0
109,4.0
110,4.0
111,1.0
112,9.0
113,5.0
114,5.0
115,8.0
116,9.0
117,8.0
118,1.0
119,8.0
120,9.0
121,1.0
122,5.0
123,5.0
124,9.0
125,1.0
126,1.0
127,2.0
128,9.0
129,9.0
130,9.0
131,1.0
132,3.0
133,8.0
134,1.0
135,9.0
136,1.0
137,4.0
138,9.0
139,4.0
140,9.0
141,5.0
142,0.0
143,1.0
144,5.0
145,4.0
146,4.0
147,9.0
148,9.0
149,9.0
150,1.0
151,1.0
152,5.0
153,9.0
154,1.0
155,5.0
156,0.0
157,1.0
158,5.0
159,5.0
160,3.0
161,8.0
162,8.0
163,0.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,9.0
170,0.0
171,5.0
172,9.0
173,9.0
174,0.0
175,0.0
176,1.0
177,1.0
178,1.0
179,8.0
180,5.0
181,4.0
182,1.0
183,9.0
184,9.0
185,9.0
186,1.0
187,9.0
188,4.0
189,9.0
190,3.0
191,1.0
192,9.0
193,1.0
194,2.0
195,0.0
196,7.0
197,9.0
198,1.0
199,9.0
200,9.0
201,9.0
202,0.0
203,9.0
204,0.0
205,9.0
206,8.0
207,8.0
208,0.0
209,5.0
210,0.0
211,4.0
212,4.0
213,0.0
214,0.0
215,9.0
216,0.0
217,8.0
218,1.0
219,3.0
220,9.0
221,8.0
222,1.0
223,9.0
224,5.0
225,4.0
226,3.0
227,0.0
228,5.0
229,4.0
230,1.0
231,9.0
232,1.0
233,1.0
234,9.0
235,1.0
236,2.0
237,5.0
238,9.0
239,2.0
240,4.0
241,2.0
242,0.0
243,9.0
244,9.0
245,1.0
246,1.0
247,5.0
248,4.0
249,9.0
250,8.0
251,8.0
252,1.0
253,1.0
254,1.0
255,5.0
256,0.0
257,9.0
258,5.0
259,1.0
260,1.0
261,4.0
262,1.0
263,1.0
264,1.0
265,9.0
266,4.0
267,9.0
268,2.0
269,7.0
270,9.0
271,5.0
272,4.0
273,5.0
274,1.0
