instance, prediction
1,9
2,0
3,9
4,9
5,0
6,1
7,1
8,0
9,0
10,9
11,9
12,0
13,1
14,9
15,0
16,1
17,9
18,0
19,1
20,1
21,0
22,1
23,9
24,1
25,9
26,0
27,1
28,1
29,0
30,0
31,9
32,9
33,0
34,9
35,9
36,1
37,9
38,9
39,1
40,1
41,1
42,1
43,9
44,9
45,9
46,9
47,1
48,0
49,9
50,1
51,9
52,9
53,9
54,9
55,0
56,0
57,0
58,9
59,9
60,1
61,1
62,9
63,0
64,0
65,9
66,0
67,1
68,9
69,0
70,9
71,0
72,0
73,1
74,9
75,9
76,0
77,9
78,1
79,9
80,9
81,1
82,1
83,0
84,9
85,0
86,0
87,9
88,9
89,1
90,0
91,0
92,9
93,1
94,0
95,9
96,1
97,9
98,0
99,0
100,0
101,9
102,0
103,0
104,9
105,9
106,9
107,9
108,9
109,0
110,9
111,1
112,9
113,9
114,9
115,0
116,9
117,0
118,1
119,0
120,9
121,0
122,9
123,9
124,9
125,1
126,1
127,9
128,9
129,0
130,0
131,1
132,0
133,0
134,1
135,9
136,1
137,9
138,9
139,0
140,0
141,9
142,0
143,1
144,9
145,9
146,0
147,9
148,9
149,9
150,1
151,1
152,9
153,9
154,0
155,9
156,0
157,1
158,9
159,9
160,1
161,0
162,0
163,0
164,0
165,1
166,1
167,0
168,1
169,9
170,0
171,9
172,9
173,9
174,0
175,9
176,1
177,1
178,0
179,0
180,9
181,9
182,1
183,9
184,9
185,9
186,0
187,9
188,9
189,0
190,1
191,1
192,9
193,1
194,0
195,9
196,1
197,9
198,0
199,0
200,9
201,9
202,0
203,9
204,0
205,9
206,9
207,0
208,0
209,9
210,0
211,9
212,0
213,0
214,0
215,9
216,0
217,0
218,1
219,1
220,9
221,0
222,1
223,9
224,9
225,0
226,1
227,9
228,9
229,0
230,1
231,9
232,1
233,0
234,0
235,1
236,9
237,9
238,9
239,0
240,1
241,9
242,0
243,9
244,9
245,1
246,1
247,9
248,0
249,9
250,0
251,0
252,1
253,1
254,1
255,9
256,0
257,0
258,9
259,0
260,0
261,9
262,1
263,0
264,1
265,9
266,0
267,9
268,9
269,1
270,0
271,9
272,0
273,9
274,1
275,1
276,0
277,9
278,0
279,9
280,0
281,0
282,0
283,0
284,0
285,0
286,9
287,0
288,1
289,9
290,1
291,1
292,9
293,0
294,0
295,1
296,9
297,1
298,0
299,0
300,9
301,1
302,9
303,9
304,9
305,1
306,1
307,1
308,1
309,0
310,1
311,9
312,0
313,0
314,9
315,1
316,9
317,9
318,9
319,0
320,1
321,0
322,0
323,9
324,9
325,9
326,9
327,0
328,0
329,1
330,9
331,9
332,0
333,9
334,9
335,1
336,9
337,1
338,0
339,9
340,9
341,9
342,0
343,9
344,0
345,0
346,9
347,9
348,9
349,0
350,9
351,9
352,1
353,0
354,0
355,1
356,9
357,9
358,1
359,0
360,0
361,1
362,0
363,9
364,0
365,0
366,0
367,0
368,1
369,1
370,1
371,9
372,9
373,1
374,9
375,1
376,0
377,1
378,9
379,0
380,9
381,1
382,9
383,1
384,1
385,0
386,9
387,0
388,9
389,9
390,0
391,0
392,9
393,0
394,0
395,9
396,1
397,9
398,9
399,9
400,1
401,1
402,9
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,9
411,9
412,0
413,1
414,0
415,1
416,1
417,9
418,1
419,0
420,9
421,9
422,0
423,1
424,9
425,0
426,0
427,0
428,9
429,0
430,9
431,9
432,0
433,1
434,9
435,9
436,1
437,1
438,9
439,0
440,9
441,1
442,0
443,0
444,1
445,0
446,0
447,0
448,0
449,0
450,9
451,0
452,0
453,1
454,9
455,0
456,0
457,0
458,0
459,0
460,9
461,1
462,0
463,0
464,9
465,0
466,9
467,1
468,0
469,1
470,0
471,0
472,0
473,9
474,9
475,1
476,9
477,9
478,0
479,0
480,0
481,0
482,1
483,0
484,0
485,0
486,9
487,9
488,9
489,9
490,0
491,0
492,9
493,9
494,1
495,0
496,0
497,1
498,0
499,0
500,1
501,9
502,0
503,9
504,0
505,9
506,0
507,9
508,1
509,9
510,0
511,0
512,1
513,1
514,9
515,9
516,0
517,1
518,9
519,0
520,9

confusion matrix
48,2,0,0,0,0,0,0,0,5
29,95,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,9
3,11,0,0,0,0,0,0,0,1
17,2,0,0,0,0,0,0,0,31
5,0,0,0,0,0,0,0,0,50
12,0,0,0,0,0,0,0,0,3
3,12,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,11
31,0,0,0,0,0,0,0,0,94

precision, recall, f1-measure
0.25,0.87,0.39
0.78,0.76,0.77
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.46,0.75,0.57

accuracy, macro-average f-1, weighted-average f1
0.46,0.17,0.36
