instance, prediction
1,9.0
2,3.0
3,0.0
4,5.0
5,9.0
6,3.0
7,1.0
8,3.0
9,6.0
10,9.0
11,0.0
12,1.0
13,3.0
14,9.0
15,2.0
16,3.0
17,9.0
18,9.0
19,7.0
20,1.0
21,6.0
22,1.0
23,2.0
24,7.0
25,9.0
26,2.0
27,1.0
28,1.0
29,2.0
30,2.0
31,9.0
32,2.0
33,2.0
34,9.0
35,2.0
36,1.0
37,6.0
38,9.0
39,1.0
40,1.0
41,3.0
42,7.0
43,4.0
44,5.0
45,9.0
46,9.0
47,1.0
48,3.0
49,6.0
50,1.0
51,0.0
52,4.0
53,5.0
54,9.0
55,0.0
56,0.0
57,8.0
58,5.0
59,6.0
60,1.0
61,1.0
62,6.0
63,3.0
64,0.0
65,6.0
66,1.0
67,1.0
68,9.0
69,0.0
70,0.0
71,3.0
72,0.0
73,1.0
74,9.0
75,5.0
76,2.0
77,9.0
78,1.0
79,3.0
80,4.0
81,1.0
82,1.0
83,4.0
84,6.0
85,4.0
86,6.0
87,9.0
88,0.0
89,7.0
90,6.0
91,8.0
92,9.0
93,1.0
94,1.0
95,5.0
96,1.0
97,9.0
98,6.0
99,0.0
100,0.0
101,0.0
102,2.0
103,2.0
104,9.0
105,9.0
106,5.0
107,6.0
108,5.0
109,5.0
110,4.0
111,1.0
112,9.0
113,4.0
114,5.0
115,8.0
116,5.0
117,8.0
118,0.0
119,2.0
120,9.0
121,1.0
122,9.0
123,4.0
124,9.0
125,1.0
126,1.0
127,6.0
128,9.0
129,4.0
130,9.0
131,1.0
132,1.0
133,6.0
134,1.0
135,9.0
136,1.0
137,4.0
138,6.0
139,0.0
140,2.0
141,5.0
142,3.0
143,1.0
144,9.0
145,9.0
146,4.0
147,9.0
148,9.0
149,5.0
150,1.0
151,1.0
152,5.0
153,9.0
154,1.0
155,6.0
156,3.0
157,1.0
158,5.0
159,5.0
160,3.0
161,0.0
162,2.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,9.0
170,0.0
171,5.0
172,9.0
173,9.0
174,4.0
175,4.0
176,1.0
177,1.0
178,3.0
179,2.0
180,5.0
181,9.0
182,1.0
183,9.0
184,9.0
185,4.0
186,1.0
187,9.0
188,9.0
189,4.0
190,3.0
191,1.0
192,9.0
193,1.0
194,6.0
195,5.0
196,7.0
197,9.0
198,7.0
199,6.0
200,9.0
201,6.0
202,0.0
203,9.0
204,0.0
205,5.0
206,5.0
207,2.0
208,1.0
209,5.0
210,3.0
211,4.0
212,6.0
213,3.0
214,0.0
215,9.0
216,3.0
217,2.0
218,1.0
219,0.0
220,9.0
221,2.0
222,1.0
223,6.0
224,4.0
225,5.0
226,3.0
227,2.0
228,5.0
229,4.0
230,1.0
231,9.0
232,1.0
233,4.0
234,9.0
235,1.0
236,6.0
237,6.0
238,9.0
239,2.0
240,0.0
241,2.0
242,3.0
243,9.0
244,6.0
245,1.0
246,1.0
247,5.0
248,4.0
249,9.0
250,7.0
251,9.0
252,1.0
253,1.0
254,1.0
255,9.0
256,0.0
257,9.0
258,3.0
259,1.0
260,1.0
261,9.0
262,0.0
263,1.0
264,1.0
265,6.0
266,6.0
267,9.0
268,2.0
269,7.0
270,1.0
271,5.0
272,4.0
273,5.0
274,1.0
275,7.0
276,1.0
277,5.0
278,2.0
279,9.0
280,5.0
281,0.0
282,3.0
283,6.0
284,6.0
285,3.0
286,9.0
287,0.0
288,1.0
289,9.0
290,1.0
291,3.0
292,9.0
293,2.0
294,8.0
295,1.0
296,9.0
297,1.0
298,0.0
299,8.0
300,9.0
301,3.0
302,5.0
303,9.0
304,5.0
305,1.0
306,1.0
307,1.0
308,7.0
309,0.0
310,3.0
311,9.0
312,5.0
313,0.0
314,9.0
315,1.0
316,2.0
317,9.0
318,9.0
319,9.0
320,7.0
321,9.0
322,1.0
323,6.0
324,5.0
325,8.0
326,9.0
327,9.0
328,0.0
329,1.0
330,9.0
331,6.0
332,1.0
333,9.0
334,4.0
335,1.0
336,6.0
337,7.0
338,1.0
339,9.0
340,9.0
341,2.0
342,1.0
343,6.0
344,8.0
345,3.0
346,9.0
347,5.0
348,4.0
349,2.0
350,9.0
351,3.0
352,3.0
353,3.0
354,2.0
355,1.0
356,9.0
357,9.0
358,1.0
359,1.0
360,1.0
361,3.0
362,9.0
363,4.0
364,2.0
365,9.0
366,2.0
367,3.0
368,1.0
369,1.0
370,3.0
371,9.0
372,5.0
373,1.0
374,5.0
375,1.0
376,6.0
377,1.0
378,9.0
379,8.0
380,8.0
381,1.0
382,9.0
383,1.0
384,1.0
385,1.0
386,9.0
387,4.0
388,4.0
389,9.0
390,0.0
391,9.0
392,9.0
393,3.0
394,1.0
395,9.0
396,1.0
397,2.0
398,8.0
399,2.0
400,1.0
401,1.0
402,9.0
403,0.0
404,9.0
405,2.0
406,7.0
407,8.0
408,9.0
409,8.0
410,4.0
411,5.0
412,6.0
413,1.0
414,0.0
415,1.0
416,1.0
417,9.0
418,1.0
419,9.0
420,5.0
421,9.0
422,6.0
423,0.0
424,9.0
425,2.0
426,0.0
427,9.0
428,5.0
429,4.0
430,2.0
431,9.0
432,3.0
433,1.0
434,9.0
435,9.0
436,1.0
437,1.0
438,6.0
439,9.0
440,5.0
441,1.0
442,0.0
443,0.0
444,1.0
445,3.0
446,9.0
447,2.0
448,2.0
449,4.0
450,5.0
451,6.0
452,6.0
453,1.0
454,9.0
455,8.0
456,4.0
457,1.0
458,0.0
459,1.0
460,9.0
461,1.0
462,2.0
463,2.0
464,9.0
465,9.0
466,9.0
467,1.0
468,8.0
469,7.0
470,2.0
471,9.0
472,8.0
473,2.0
474,9.0
475,3.0
476,5.0
477,5.0
478,0.0
479,6.0
480,1.0
481,6.0
482,1.0
483,1.0
484,2.0
485,6.0
486,4.0
487,9.0
488,6.0
489,9.0
490,0.0
491,3.0
492,5.0
493,4.0
494,1.0
495,6.0
496,1.0
497,3.0
498,3.0
499,0.0
500,1.0
501,9.0
502,0.0
503,9.0
504,4.0
505,9.0
506,0.0
507,2.0
508,1.0
509,9.0
510,8.0
511,6.0
512,1.0
513,1.0
514,9.0
515,4.0
516,3.0
517,1.0
518,9.0
519,6.0
520,5.0

confusion matrix
26,4,1,14,8,1,0,0,1,0
6,111,1,6,0,1,0,0,0,0
0,0,12,0,1,0,0,0,1,1
1,0,0,14,0,0,0,0,0,0
2,0,1,6,20,2,4,0,0,15
0,0,1,1,1,34,8,0,0,10
3,1,0,0,0,0,11,0,0,0
0,1,0,0,0,0,0,14,0,0
1,2,26,0,0,0,5,0,15,1
4,1,1,0,4,7,17,0,0,91

precision, recall, f1-measure
0.60,0.47,0.53
0.93,0.89,0.91
0.28,0.80,0.41
0.34,0.93,0.50
0.59,0.40,0.48
0.76,0.62,0.68
0.24,0.73,0.37
1.00,0.93,0.97
0.88,0.30,0.45
0.77,0.73,0.75

accuracy, macro-average f-1, weighted-average f1
0.67,0.60,0.68
